subject,FB_Version,U69,AAU69,UUU69
1,1,30,32.5,22.2
2,1,20.2,61,19.7
3,1,0,50,0
4,1,6.1,67.1,7.5
5,1,49.5,49.9,14.5
6,1,49.9,70.3,49.9
7,1,50,80,50
8,1,27.5,82.2,13.2
9,1,10.5,48.5,5
10,1,39.8,49.9,73.9
11,1,9.9,9.6,2.8
12,1,70.4,66.7,59.9
13,1,50.1,30.2,15.1
14,1,60.2,69.2,29.2
15,1,50.1,39.6,8.6
16,1,45.4,60.3,24.1
17,1,38.1,50.7,20.5
18,1,0,0,0
19,1,40.2,60.9,19.1
20,1,50,50.9,13.2
21,1,9.9,9.4,9.3
22,1,76.1,75.4,22.6
23,1,75,95,75
24,1,59.4,80.7,49.6
25,1,35,80.9,29.9
26,1,47.3,47.7,23.5
27,1,20,20,5
28,1,19.5,39.7,8.8
29,1,78.7,89.7,91.2
30,1,60.9,18.6,6.6
31,1,20,50.1,9.5
32,1,73.7,42.2,66.3
33,1,29.9,64.2,8.1
34,1,2.9,60.2,3.1
35,1,20,41.5,9.9
36,1,50,66,36.6
37,1,49.8,40.2,30.3
38,1,51.2,61.3,35
39,1,20,20,5
40,1,33.5,58.6,7.9
41,1,60.2,64.2,73.3
42,1,13.2,13.4,2.2
43,1,43.7,68.8,15.8
44,1,50,50,14.5
45,1,47.3,40.4,24
46,1,54,37.5,16.2
47,1,20.2,54.6,11.2
48,1,18.7,73,4.4
49,1,10,75,1
50,1,30.2,65.1,12.6
51,0,63.8,59,50.9
52,0,49.9,49.9,49.9
53,0,77.7,63.3,69.8
54,0,30,65,100
55,0,50,50,30
56,0,50.8,79.1,41.5
57,0,45,75,45
58,0,70,90.1,80.2
59,0,19.7,60.8,29.2
60,0,48.4,64,49.7
61,0,39.5,77.9,72.6
62,0,30,70,40
63,0,70.6,61.4,39.9
64,0,4,74.5,9.2
65,0,73.7,68,62.3
66,0,23,67.3,40
67,0,35.6,72.8,69
68,0,93.9,53.2,92.5
69,0,50,65,40
70,0,42.3,67.9,19.5
71,0,9.7,90.6,28.8
72,0,24.4,40.7,38.7
73,0,19.3,27.6,19.5
74,0,45.1,51.7,44.8
75,0,11.6,57.8,29.5
76,0,21.4,72.1,39.5
77,0,80.9,54.8,70
78,0,58.2,56,59.1
79,0,37.4,9.9,4.8
80,0,40.4,40.6,39.9
81,0,30,70,50
82,0,46.9,65.6,29.8
83,0,30,29.9,29.7
84,0,30,60,60
85,0,42,55,43.1
86,0,50.3,47.7,30.3
87,0,45,65,50
88,0,1.8,79.1,2
89,0,100,70.8,100
90,0,10,77,20
91,0,50,25,25
92,0,70.1,60.4,29.9
93,0,29.7,29.5,9.9
94,0,65.1,60.1,40.1
95,0,19.3,60.7,19.6
96,0,97.1,49.7,10.4
97,0,42.2,61.3,40
98,0,25.1,58.1,28.4
99,0,54.2,60.1,40.4
100,0,39.9,64.9,39.9
101,0,35.8,75.7,35.3
102,0,29.4,69.3,50
103,0,24.7,69.4,9.1
104,1,39.6,59.8,9
105,1,50,50,20.6
106,0,19.6,70.1,30.3
